               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095819,            0.089963,            0.088741,            0.041103,             0.21641,            0.018948,           0.0053238,            0.067966,            0.091126,            0.087894,            0.070588,            0.003268,            0.003268
                   1,            0.068595,            0.074664,            0.083255,             0.01371,             0.36023,             0.02161,           0.0060289,            0.070721,             0.05235,            0.080181,            0.040458,           0.0064706,           0.0064706
                   2,            0.065531,            0.073354,            0.078929,             0.46002,              0.1474,            0.062847,            0.028705,            0.056363,            0.048541,            0.076924,            0.010195,           0.0095412,           0.0095412
                   3,            0.060952,            0.072471,            0.077551,             0.39273,             0.18646,             0.06977,            0.031187,            0.050358,             0.04736,              0.0747,            0.009406,            0.009406,            0.009406
                   4,            0.052154,            0.070443,            0.076563,             0.62547,             0.16806,            0.098927,            0.047833,            0.043462,            0.049067,            0.072869,            0.009406,            0.009406,            0.009406
                   5,            0.046128,            0.064435,             0.07357,             0.75482,             0.19581,             0.13319,             0.07057,            0.038155,            0.045465,            0.068243,            0.009208,            0.009208,            0.009208
                   6,            0.043548,            0.064947,             0.07078,             0.80428,              0.1545,             0.14503,            0.067311,            0.037866,            0.046074,            0.066352,             0.00901,             0.00901,             0.00901
                   7,            0.041243,            0.062787,            0.068159,             0.81897,             0.17335,             0.20074,             0.12946,            0.031179,            0.043975,            0.063751,            0.008812,            0.008812,            0.008812
                   8,            0.039594,              0.0659,            0.066878,             0.79683,             0.20644,              0.2184,             0.11931,            0.031187,            0.043686,            0.062319,            0.008614,            0.008614,            0.008614
                   9,            0.037556,            0.059145,            0.065044,             0.82799,             0.19067,             0.23904,              0.1449,            0.034942,            0.047275,            0.063471,            0.008416,            0.008416,            0.008416
                  10,            0.037397,            0.062473,            0.063505,             0.83929,             0.18909,             0.26042,             0.15473,             0.02989,            0.043802,            0.057394,            0.008218,            0.008218,            0.008218
                  11,            0.036048,            0.061156,            0.060572,             0.83774,             0.24297,             0.29494,              0.1684,            0.032406,            0.043903,            0.054675,             0.00802,             0.00802,             0.00802
                  12,            0.036129,            0.059285,            0.057537,             0.48959,             0.34663,             0.33311,             0.20398,            0.031854,            0.042966,            0.051777,            0.007822,            0.007822,            0.007822
                  13,            0.035413,            0.058149,             0.05597,             0.81334,              0.2777,             0.35363,              0.2263,            0.030419,            0.043023,            0.049459,            0.007624,            0.007624,            0.007624
                  14,            0.034608,            0.058306,            0.053437,             0.83953,             0.30375,             0.39815,             0.26096,            0.029726,            0.042756,            0.045921,            0.007426,            0.007426,            0.007426
                  15,            0.034944,            0.060828,            0.050833,              0.4927,             0.45098,              0.4208,             0.27553,            0.028949,            0.042278,            0.042574,            0.007228,            0.007228,            0.007228
                  16,            0.034646,            0.057846,            0.047267,              0.5214,             0.47165,             0.46743,             0.30019,            0.030635,            0.042239,            0.039585,             0.00703,             0.00703,             0.00703
                  17,             0.03386,            0.057245,            0.045536,             0.51006,             0.49189,             0.49949,             0.32913,             0.02899,            0.043137,            0.037316,            0.006832,            0.006832,            0.006832
                  18,            0.033368,            0.055054,            0.043423,             0.58399,             0.52186,             0.53977,             0.35326,            0.028811,            0.042601,            0.034492,            0.006634,            0.006634,            0.006634
                  19,            0.032911,            0.054158,            0.039969,             0.63021,             0.50622,             0.55288,              0.3563,            0.028964,            0.042676,            0.031936,            0.006436,            0.006436,            0.006436
