               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099243,            0.085563,            0.088857,            0.012438,               0.225,            0.017202,           0.0052778,            0.076957,             0.10285,             0.08851,            0.070588,            0.003268,            0.003268
                   1,            0.068327,            0.075709,            0.083797,            0.014435,             0.34381,            0.028454,            0.010911,             0.07232,            0.054111,              0.0811,            0.040458,           0.0064706,           0.0064706
                   2,            0.066434,             0.07414,            0.079949,            0.016496,             0.45119,            0.041488,            0.017396,             0.05933,            0.047912,            0.078777,            0.010195,           0.0095412,           0.0095412
                   3,              0.0606,            0.073933,            0.079238,             0.08592,             0.25608,            0.051514,            0.018854,            0.051984,            0.050675,            0.077596,            0.009406,            0.009406,            0.009406
                   4,            0.051811,            0.071637,            0.079268,            0.019763,             0.48023,            0.059561,            0.029728,            0.042563,             0.05055,            0.075732,            0.009406,            0.009406,            0.009406
                   5,            0.048672,            0.065523,            0.077225,             0.42493,             0.18905,              0.0838,            0.045151,            0.042277,            0.046948,             0.07397,            0.009208,            0.009208,            0.009208
                   6,            0.044854,            0.066268,             0.07505,             0.53111,              0.1938,            0.095994,            0.049766,            0.038271,            0.046295,            0.072145,             0.00901,             0.00901,             0.00901
                   7,            0.042028,            0.063927,            0.072655,              0.6519,             0.16327,             0.11241,            0.059365,            0.034929,            0.045292,             0.07129,            0.008812,            0.008812,            0.008812
                   8,            0.039937,             0.06748,            0.071543,             0.62854,             0.21324,             0.12423,            0.069677,            0.033082,            0.044317,            0.069036,            0.008614,            0.008614,            0.008614
                   9,            0.037987,            0.060387,            0.070355,             0.62684,             0.24727,             0.14346,            0.089019,            0.030176,            0.044588,            0.067873,            0.008416,            0.008416,            0.008416
                  10,            0.036509,            0.062802,            0.069079,             0.63985,             0.21986,             0.17558,             0.10596,            0.030108,            0.043497,            0.065871,            0.008218,            0.008218,            0.008218
                  11,            0.036455,            0.061887,            0.066595,             0.72326,             0.19162,             0.19225,             0.11425,            0.031388,            0.043659,            0.063774,             0.00802,             0.00802,             0.00802
                  12,            0.035919,            0.060407,            0.064535,             0.70282,             0.22117,             0.23062,             0.13957,            0.030445,            0.042583,            0.061513,            0.007822,            0.007822,            0.007822
                  13,            0.035585,            0.059334,            0.063509,             0.61024,             0.28002,             0.25726,             0.16231,            0.031896,            0.044214,            0.059567,            0.007624,            0.007624,            0.007624
                  14,            0.034988,            0.059617,            0.061521,             0.62542,             0.30531,             0.28997,             0.16972,              0.0296,            0.042933,            0.057125,            0.007426,            0.007426,            0.007426
                  15,            0.034763,            0.061928,             0.05986,             0.67645,             0.29557,              0.3057,             0.18676,            0.029542,            0.043124,            0.054551,            0.007228,            0.007228,            0.007228
                  16,            0.034238,            0.058835,            0.056997,             0.71762,             0.31342,             0.34486,             0.21818,            0.029038,            0.041881,            0.052164,             0.00703,             0.00703,             0.00703
                  17,            0.033811,            0.058197,              0.0558,             0.78901,             0.28656,             0.35418,             0.21151,            0.030169,            0.043387,            0.050238,            0.006832,            0.006832,            0.006832
                  18,            0.032998,            0.056217,            0.054223,             0.68108,             0.34949,             0.39116,             0.25856,            0.028757,            0.043369,            0.047565,            0.006634,            0.006634,            0.006634
                  19,            0.032789,            0.055028,            0.051275,             0.56454,             0.40259,             0.41254,             0.27472,            0.026488,            0.043477,            0.045358,            0.006436,            0.006436,            0.006436
                  20,            0.032361,            0.057044,            0.049564,                0.56,             0.45125,             0.45738,             0.29953,            0.027112,            0.042862,             0.04282,            0.006238,            0.006238,            0.006238
                  21,            0.032684,            0.057329,            0.047738,             0.56953,             0.45245,             0.48086,             0.33271,            0.025615,             0.04257,            0.040587,             0.00604,             0.00604,             0.00604
                  22,            0.032118,            0.060144,            0.044148,             0.54979,             0.49022,             0.49816,             0.34604,            0.026906,              0.0419,            0.038321,            0.005842,            0.005842,            0.005842
                  23,            0.031797,            0.054998,            0.043085,             0.62588,             0.51801,             0.54584,             0.36448,            0.026901,            0.042244,             0.03679,            0.005644,            0.005644,            0.005644
