               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10644,            0.080486,            0.092398,           0.0071416,             0.18119,            0.006492,           0.0018338,            0.084303,            0.078342,            0.094679,            0.070588,            0.003268,            0.003268
                   1,            0.071296,            0.077018,            0.086167,            0.012275,              0.3379,            0.020112,           0.0052679,            0.071335,            0.056636,             0.08457,            0.040458,           0.0064706,           0.0064706
                   2,            0.065773,            0.076458,            0.081036,             0.37466,             0.10011,            0.047575,            0.016475,            0.052027,            0.049245,              0.0804,            0.010195,           0.0095412,           0.0095412
                   3,            0.061491,            0.075579,            0.079846,             0.46364,             0.16194,            0.056468,            0.024463,            0.047194,            0.050273,            0.079025,            0.009406,            0.009406,            0.009406
                   4,            0.053545,            0.073374,            0.080075,             0.57801,             0.13261,            0.078009,            0.043092,            0.039583,            0.049315,            0.076924,            0.009406,            0.009406,            0.009406
                   5,            0.049333,             0.06819,            0.078605,             0.50142,             0.15009,            0.069067,            0.035182,             0.04075,            0.049082,            0.075749,            0.009208,            0.009208,            0.009208
                   6,            0.045081,            0.069221,            0.077093,             0.55242,             0.14888,            0.093409,            0.047686,            0.037181,            0.047291,            0.075113,             0.00901,             0.00901,             0.00901
                   7,            0.043765,             0.06654,            0.075381,             0.65381,               0.167,             0.10469,            0.056185,            0.035923,            0.045843,            0.073808,            0.008812,            0.008812,            0.008812
                   8,            0.041265,            0.069896,            0.074843,             0.53314,             0.19737,             0.10913,            0.069752,            0.032327,             0.04633,            0.071797,            0.008614,            0.008614,            0.008614
                   9,            0.039114,            0.062211,            0.073618,             0.62945,             0.19543,             0.11984,            0.076231,            0.030329,            0.046163,            0.071269,            0.008416,            0.008416,            0.008416
                  10,            0.037813,            0.065635,            0.072388,              0.5961,             0.20181,             0.13719,            0.081315,            0.031385,            0.044827,            0.070377,            0.008218,            0.008218,            0.008218
                  11,            0.037046,            0.064258,               0.071,             0.62354,             0.21722,             0.14545,            0.093557,            0.031441,             0.04529,            0.068695,             0.00802,             0.00802,             0.00802
                  12,            0.037059,            0.062531,             0.06961,             0.57848,             0.21718,             0.16276,             0.09784,            0.030623,            0.043589,            0.067754,            0.007822,            0.007822,            0.007822
                  13,            0.036323,            0.061779,            0.069533,             0.55938,             0.20518,             0.16831,            0.099806,             0.03244,             0.04355,            0.066831,            0.007624,            0.007624,            0.007624
                  14,             0.03566,            0.062182,            0.068428,               0.548,              0.2284,             0.18364,             0.11546,            0.030464,            0.044039,            0.065782,            0.007426,            0.007426,            0.007426
                  15,            0.035075,            0.064493,             0.06762,             0.55019,             0.21857,             0.18469,             0.11602,            0.027666,            0.043832,            0.064316,            0.007228,            0.007228,            0.007228
                  16,            0.034862,            0.061822,             0.06581,             0.59747,             0.22602,             0.20683,             0.13878,            0.028986,            0.043568,            0.062845,             0.00703,             0.00703,             0.00703
                  17,             0.03446,            0.060969,            0.064898,             0.69451,             0.23001,             0.23043,             0.14246,             0.02853,             0.04349,            0.061238,            0.006832,            0.006832,            0.006832
                  18,            0.033796,            0.058523,            0.064035,             0.61602,              0.2556,             0.23966,             0.16496,             0.02879,            0.042945,             0.05976,            0.006634,            0.006634,            0.006634
                  19,            0.033079,            0.057479,            0.062047,             0.56043,             0.30008,             0.24897,             0.17058,            0.026396,            0.043826,            0.058215,            0.006436,            0.006436,            0.006436
                  20,            0.032466,              0.0597,             0.06084,             0.56857,             0.29595,             0.26996,             0.17741,            0.028277,              0.0436,            0.056489,            0.006238,            0.006238,            0.006238
                  21,            0.032971,            0.059916,            0.059652,             0.64782,             0.29057,             0.27812,             0.18409,            0.026793,            0.042569,            0.055809,             0.00604,             0.00604,             0.00604
                  22,            0.032339,            0.063162,            0.056892,             0.40401,             0.35975,             0.30917,             0.21967,            0.026136,            0.042371,            0.053795,            0.005842,            0.005842,            0.005842
                  23,            0.032113,            0.058094,            0.056757,             0.45583,              0.3891,             0.33861,             0.24053,            0.025001,            0.041791,            0.052493,            0.005644,            0.005644,            0.005644
                  24,            0.031773,            0.058917,            0.055251,             0.49758,             0.39762,             0.36207,             0.26555,            0.024711,            0.042412,            0.050609,            0.005446,            0.005446,            0.005446
                  25,            0.031847,            0.059903,            0.053809,             0.54267,             0.42085,             0.39318,             0.27716,            0.026016,            0.042162,            0.049264,            0.005248,            0.005248,            0.005248
                  26,            0.031519,            0.059115,            0.051529,             0.55101,             0.42486,             0.42263,             0.28844,             0.02735,            0.042362,            0.047868,             0.00505,             0.00505,             0.00505
                  27,            0.031093,            0.058674,            0.052411,             0.66397,             0.39336,             0.43226,             0.30269,             0.02611,             0.04215,            0.046735,            0.004852,            0.004852,            0.004852
                  28,            0.030975,             0.05768,            0.049159,             0.62538,             0.40946,             0.44321,             0.30127,            0.025295,            0.040921,            0.045372,            0.004654,            0.004654,            0.004654
                  29,            0.030252,            0.057878,            0.048089,             0.61556,             0.42863,             0.45491,             0.33529,            0.023958,            0.041174,            0.043866,            0.004456,            0.004456,            0.004456
                  30,            0.029899,             0.05363,            0.048194,             0.62803,             0.44432,             0.48439,             0.34877,            0.025303,            0.041312,            0.042587,            0.004258,            0.004258,            0.004258
                  31,            0.030408,            0.059693,            0.046456,              0.7215,             0.42237,             0.48993,             0.34222,            0.025485,            0.041568,            0.041048,             0.00406,             0.00406,             0.00406
                  32,            0.030166,            0.057634,            0.043972,             0.73509,             0.45041,             0.51486,                0.38,            0.023585,            0.041174,            0.039414,            0.003862,            0.003862,            0.003862
                  33,            0.029597,            0.056689,            0.044989,             0.75281,             0.43986,             0.51926,             0.37201,            0.025159,            0.041646,            0.038807,            0.003664,            0.003664,            0.003664
                  34,            0.029002,            0.055872,             0.04348,             0.72712,             0.45439,             0.53207,             0.39582,            0.023125,            0.040557,            0.037695,            0.003466,            0.003466,            0.003466
                  35,            0.028748,            0.054448,            0.042086,             0.75776,              0.4624,             0.53416,             0.39322,            0.024115,            0.040793,             0.03659,            0.003268,            0.003268,            0.003268
