               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094665,            0.088627,            0.088594,            0.013229,             0.28435,            0.023196,           0.0064376,            0.069798,            0.093405,            0.085572,            0.070588,            0.003268,            0.003268
                   1,            0.068677,              0.0746,            0.082892,            0.019011,             0.20188,            0.047186,            0.016736,            0.069105,            0.050026,            0.079305,            0.040458,           0.0064706,           0.0064706
                   2,            0.069388,            0.072146,            0.078779,            0.081765,             0.25174,            0.061076,            0.021873,            0.063468,             0.04572,            0.076683,            0.010195,           0.0095412,           0.0095412
                   3,            0.062064,            0.071338,            0.077652,             0.69456,             0.17389,            0.088061,            0.038928,            0.052222,            0.051713,            0.074641,            0.009406,            0.009406,            0.009406
                   4,            0.052424,            0.069697,            0.076745,             0.74372,             0.18427,             0.16162,            0.069487,            0.040511,            0.048705,            0.071637,            0.009406,            0.009406,            0.009406
                   5,            0.047097,            0.063503,            0.073312,             0.80411,             0.17026,             0.19173,             0.10417,            0.039066,            0.045366,            0.068168,            0.009208,            0.009208,            0.009208
                   6,            0.042811,            0.064238,            0.069881,             0.79418,             0.16124,             0.17082,            0.080639,             0.04049,            0.046285,            0.064742,             0.00901,             0.00901,             0.00901
                   7,            0.042228,            0.061989,            0.065559,             0.73256,             0.22843,             0.27526,             0.16319,            0.033291,            0.044672,            0.061669,            0.008812,            0.008812,            0.008812
                   8,            0.040471,            0.065678,            0.063122,             0.76947,             0.24698,              0.2833,             0.17381,            0.033235,            0.043943,             0.05617,            0.008614,            0.008614,            0.008614
                   9,            0.038379,            0.058653,             0.05946,             0.75698,             0.28852,             0.33451,             0.20315,            0.030119,            0.043607,            0.053242,            0.008416,            0.008416,            0.008416
                  10,            0.038341,            0.060819,            0.055709,             0.77475,             0.29564,             0.35998,             0.20988,            0.032373,            0.044054,             0.04904,            0.008218,            0.008218,            0.008218
                  11,            0.037335,            0.060181,            0.052297,             0.83665,             0.29607,             0.39209,             0.23101,            0.032394,            0.043264,            0.044546,             0.00802,             0.00802,             0.00802
                  12,            0.036993,            0.058607,             0.04764,             0.89221,             0.32141,             0.45847,             0.25489,            0.032481,            0.042769,            0.040671,            0.007822,            0.007822,            0.007822
                  13,            0.035848,              0.0574,            0.045761,             0.60392,             0.46303,              0.4933,             0.31369,            0.030947,            0.043057,            0.038747,            0.007624,            0.007624,            0.007624
